timestamp (us),measLate,skippedBeat,drNoTrigger,checksumError,measInvalid,Load (N)
259329509,1,1,0,0,1,7447.07861328125
259731105,1,1,0,0,1,8188.91943359375
260132708,1,1,0,0,1,7525.92138671875
260534325,1,1,0,0,1,7576.09423828125
260935952,1,1,0,0,1,7855.62841796875
261337512,1,1,0,0,1,8034.8173828125
261739093,1,1,0,0,1,7981.060546875
262140692,1,1,0,0,1,8013.314453125
262542293,1,1,0,0,1,8264.1787109375
262943899,1,1,0,0,1,8214.005859375
263345499,1,1,0,0,1,8178.16796875
263747122,1,1,0,0,1,7805.4560546875
264148750,1,1,0,0,1,7798.2880859375
264550341,1,1,0,0,1,7923.72021484375
264951948,1,1,0,0,1,8239.091796875
265353542,1,1,0,0,1,7884.298828125
265755130,1,1,0,0,1,7963.1416015625
266156711,1,1,0,0,1,8221.173828125
266558272,1,1,0,0,1,7762.45068359375
266959876,1,1,0,0,1,7662.10498046875
267361425,1,1,0,0,1,8038.40087890625
267763037,1,1,0,0,1,7622.68359375
268164574,1,1,0,0,1,8020.48193359375
268566160,1,1,0,0,1,7998.9794921875
268967749,1,1,0,0,1,7604.7646484375
269369338,1,1,0,0,1,8257.0107421875
269770930,1,1,0,0,1,8092.15771484375
270172531,1,1,0,0,1,7504.4189453125
270574120,1,1,0,0,1,7346.73291015625
270975739,1,1,0,0,1,7590.4296875
271377340,1,1,0,0,1,8138.74658203125
271778917,1,1,0,0,1,8088.57373046875
272180515,1,1,0,0,1,7604.7646484375
272582100,1,1,0,0,1,7497.25146484375
272983701,1,1,0,0,1,7905.80126953125
273385302,1,1,0,0,1,7343.1494140625
273786912,1,1,0,0,1,8006.14697265625
274188495,1,1,0,0,1,7590.4296875
274590114,1,1,0,0,1,7798.2880859375
274991710,1,1,0,0,1,8185.33544921875
275393304,1,1,0,0,1,8235.5087890625
275794910,1,1,0,0,1,8196.0869140625
276196501,1,1,0,0,1,7568.9267578125
276598096,1,1,0,0,1,7547.42431640625
276999691,1,1,0,0,1,7493.66748046875
277401291,1,1,0,0,1,7629.85107421875
277802915,1,1,0,0,1,7794.70458984375
278204512,1,1,0,0,1,7504.4189453125
278606107,1,1,0,0,1,7525.92138671875
279007705,1,1,0,0,1,7658.52099609375
279409296,1,1,0,0,1,7525.92138671875
279810907,1,1,0,0,1,7611.93212890625
280212490,1,1,0,0,1,7604.7646484375
280614089,1,1,0,0,1,8264.1787109375
281015686,1,1,0,0,1,8228.3408203125
281417302,1,1,0,0,1,7300.14404296875
281818860,1,1,0,0,1,7938.05517578125
282220459,1,1,0,0,1,7766.0341796875
282622025,1,1,0,0,1,8113.66015625
283023620,1,1,0,0,1,7525.92138671875
283425223,1,1,0,0,1,8092.15771484375
283826817,1,1,0,0,1,7819.791015625
284228418,1,1,0,0,1,7529.50537109375
284629994,1,1,0,0,1,7181.87939453125
285031594,1,1,0,0,1,7490.083984375
285433143,1,1,0,0,1,7536.6728515625
285834752,1,1,0,0,1,7472.1650390625
286236324,1,1,0,0,1,7816.20703125
286637920,1,1,0,0,1,7113.78759765625
287039508,1,1,0,0,1,7988.22802734375
287441104,1,1,0,0,1,7576.09423828125
287842693,1,1,0,0,1,7533.08935546875
288244321,1,1,0,0,1,7812.62353515625
288645919,1,1,0,0,1,7920.13671875
289047505,1,1,0,0,1,8052.736328125
289449098,1,1,0,0,1,8095.7412109375
289850689,1,1,0,0,1,7518.75390625
290252269,1,1,0,0,1,8016.8984375
290653837,1,1,0,0,1,7694.35888671875
291055435,1,1,0,0,1,7783.953125
291457031,1,1,0,0,1,7977.47705078125
